cluster,titulo
0,Países árabes declaram apoio à ofensiva dos EUA contra Estado Islâmico
0,Obama descarta tropas contra Estado Islâmico; EUA treinarão rebeldes sírios
0,Estados Unidos começam ataques aéreos contra 'EI' na Síria
1,Polícia do Rio investiga se morte de rapaz foi provocada por PMs
1,Ex-marido tenta matar homem que dançava com mulher em MT
1,"Policial civil morre após colidir com brita e perder controle de moto na vila do Tepequém, Norte de RR"
1,Jovem desaparece após se afogar ao tentar atravessar rio em MT
1,Homem é preso suspeito de agredir a ex-companheira em Rio Preto
1,"Mulher morre após capotar carro em rodovia perto de Pirangi, SP"
1,Corpo de rapaz com deficiência intelectual é enterrado Rio; mãe pede justiça: 'Covardia. Quem fez tem que pagar'
1,Suspeito de estuprar e ameaçar mulher é preso no interior de MS
1,"Mãe de Fabrício, que sumiu há 12 anos no AC, fala da dor de nunca ter achado o corpo do filho: ‘Procurava ele em outros garotos’"
1,Avó é esfaqueada ao proteger neta durante assalto em Palmas; criança de 3 anos foi ameaçada
1,"Motoristas morrem após batida entre caminhões na BR-101, no sul da Bahia"
1,Corpo de PM morto após troca de tiros com homens armados em Salvador é enterrado
1,Agente socioeducativo é baleado durante tentativa de assalto em João Pessoa
1,"Sobe para 30 número de mortos em explosão de hotel, diz governo de Cuba"
1,Sobe para 26 o número de mortos em explosão de hotel de luxo em Cuba
1,Homem é preso pela Polícia Civil suspeito de estuprar e engravidar enteada adolescente
1,"Mulher encontrada carbonizada no DF levou pelo menos 22 facadas, diz delegado"
1,Dois assassinatos a tiros são registrados em Belém em menos de 24h
1,Homem é preso com jacarés à venda em via pública no Amazonas
1,"Dono de açougue morto em Feira de Santana foi assassinado a mando de facção, diz polícia; suspeitos foram presos"
1,Homem é preso em flagrante por estupro de menina de 7 anos em Presidente Prudente
1,"Carro capota, bate em árvore e deixa três homens feridos no Lago Norte, no DF"
1,Suspeito de matar policial atropelado e pular de um carro em movimento para fugir da polícia é capturado em SC
1,Acidente entre caminhão-tanque e moto mata duas pessoas em Guaçuí
1,Duas pessoas ficam feridas após carro bater contra poste em Nova Odessa
1,Avó descobre tortura contra filha e neto de 3 anos após receber localização e resgatá-los em outra cidade: 'Queimaram as genitais dele com isqueiro'
1,Três suspeitos são presos após roubarem carros e praticarem assaltos em Juiz de Fora e São João Nepomuceno
1,"Empresário morre após ser baleado na cabeça em tentativa de assalto em Parnaíba, litoral do Piauí"
1,Polícia localiza corpo de homem que foi torturado antes de assassinato no interior
1,Suspeito de roubo morre baleado após tentar atacar policiais em BH
1,Polícia prende acusado de matar o ator Rafael Miguel quase três anos após crime
1,Corpo de mulher de 62 anos que estava desaparecida no Recife é encontrado enterrado na casa dela; polícia investiga feminicídio
1,Vídeo mostra tentativa de assalto na Zona Leste de SP; vítima é baleada no pescoço e suspeitos fogem
1,"Duas pessoas morrem em acidente entre caminhonete e carreta na BR-262, no ES"
1,Adolescente desaparece após entrar no mar em praia no sul da Bahia; família comemorava Dia das Mães no local
1,Suspeito de balear policial civil durante assalto é preso em Teresina
1,Justiça determina prisão preventiva de policial que atirou e matou homem que tentou fugir de delegacia em Cuiabá
1,Motim em presídio do Equador termina com 43 mortos
1,Trem descarrila na Áustria e deixa pelo menos uma pessoa morta e 2 seriamente feridas
1,Jovem detido após pedestre ser atropelado em Formiga assume o crime em depoimento à Polícia Civil
1,Homem tenta se defender de assalto com martelo e é morto a tiros em SP
1,"Corpo de menino que desapareceu durante banho de rio é encontrado em Garrafão do Norte, no Pará"
1,"Idoso de 82 anos fica gravemente ferido após ser atropelado na BR-316, em Picos; condutora também se feriu"
1,Pai é preso em flagrante após espancar filha portadora de deficiência mental em Jacobina do Piauí
1,Condenado a 32 anos de prisão por executar cadeirante com tiro na cabeça é preso em Rio Branco
1,Filho de Nick Cave morre aos 31 anos após ter sido preso por agressão contra a mãe
1,Homem é preso por tentativa de feminicídio após esfaquear a mulher em Marília
