dt|tmp
2022-04-01 10:27:21.495000|0
2022-04-01 10:27:21.495000|0
2022-04-01 10:27:41.741000|0
2022-04-01 10:27:41.741000|0
2022-04-01 10:27:55.529000|1
2022-04-01 10:27:55.529000|0
2022-04-01 10:28:13.124000|0
2022-04-01 10:28:13.124000|0
2022-04-01 10:28:28.261000|0
2022-04-01 10:28:28.261000|1
2022-04-01 10:28:42.989000|0
2022-04-01 10:28:42.989000|1
2022-04-01 10:29:43.798000|0
2022-04-01 10:29:43.798000|0
2022-04-01 10:30:00.248000|0
2022-04-01 10:30:00.248000|1
2022-04-01 10:30:19.629000|1
2022-04-01 10:30:19.629000|0
2022-04-01 10:30:34.255000|0
2022-04-01 10:30:34.255000|1
2022-04-01 10:30:50.025000|1
2022-04-01 10:30:50.025000|0
2022-04-01 10:31:28.989000|0
2022-04-01 10:31:28.989000|0
2022-04-01 10:31:45.722000|1
2022-04-01 10:31:45.722000|0
2022-04-01 10:32:02.259000|1
2022-04-01 10:32:02.259000|0
2022-04-01 10:32:17.049000|1
2022-04-01 10:32:17.049000|0
2022-04-01 10:32:53.790000|0
2022-04-01 10:32:53.790000|0
2022-04-01 10:33:35.134000|1
2022-04-01 10:33:35.134000|0
2022-04-01 10:34:00.070000|1
2022-04-01 10:34:00.070000|0
2022-04-01 10:34:18.394000|1
2022-04-01 10:34:18.394000|0
2022-04-01 10:35:28.399000|1
2022-04-01 10:35:28.399000|0
2022-04-01 10:35:48.733000|0
2022-04-01 10:35:48.733000|0
2022-04-01 10:36:16.708000|0
2022-04-01 10:36:16.708000|0
2022-04-01 10:36:38.687000|0
2022-04-01 10:36:38.687000|0
2022-04-01 10:37:11.962000|1
2022-04-01 10:37:11.962000|0
2022-04-01 10:38:01.436000|0
2022-04-01 10:38:01.436000|0
2022-04-01 10:38:16.943000|0
2022-04-01 10:38:16.943000|1
2022-04-01 10:38:33.897000|0
2022-04-01 10:38:33.897000|0
2022-04-01 10:38:53.092000|1
