titulo,cluster
Colômbia vai às urnas com esquerda no topo das pesquisas,195
Colombianos vão às urnas em eleição presidencial divisiva,195
Por que a Colômbia nunca teve um governo de esquerda? E por que isso pode mudar neste ano?,195
Colombianos vão às urnas para escolher novo presidente,195
Esquerdista pode ser o próximo presidente da Colômbia,195
Eleição na Colômbia: por que tem sido tão difícil para a esquerda chegar ao poder na Colômbia,195
O que está em jogo nas eleições presidenciais na Colômbia,195
Colômbia vai às urnas com esquerda favorita pela 1ª vez,195
Colombianos vão às urnas em eleição presidencial divisiva,195
Por que tem sido tão difícil para a esquerda chegar ao poder na Colômbia,195
Colômbia vai às urnas com esquerda no topo das pesquisas,195
Pernambuco registra 44 mortes após chuvas e Planalto deve decretar emergência,194
Sobe para 56 o número de mortos em Pernambuco por conta das chuvas,194
Fortes chuvas no nordeste do Brasil já deixam 56 mortos e 56 desaparecidos,194
Número de mortes confirmadas devido à chuva no Grande Recife é de 44,194
Chuvas em Pernambuco: mais de 40 morreram e 56 estão desaparecidos,194
Número de mortes confirmadas devido à chuva no Grande Recife é de 44,194
"Após reajuste de 15% nos planos de saúde, Queiroga defende mudanças no setor privado",193
"ANS autoriza reajuste máximo de 15,5% em planos de saúde individuais",193
"Randolfe apresenta projetos contra ajuste de 15,5% nos planos de saúde",193
"ANS aprova aumento de 15,5% em  planos de saúde individuais: entenda como vai funcionar o reajuste",193
"ANS autoriza reajuste de 15,5% na cobrança dos planos de saúde",193
"ANS autoriza reajuste de 15,5% em planos de saúde individuais",193
João Doria desiste de candidatura à Presidência: ?Não sou escolha do PSDB?,192
João Doria anuncia que não vai disputar eleições presidenciais,192
João Dória confirma que mantém candidatura à Presidência pelo PSDB,192
Doria anuncia desistência de disputar eleições presidenciais,192
Doria anuncia desistência da candidatura à Presidência,192
"'É hora de agir' contra lobby de armas nos EUA, diz Biden após ataque a escola no Texas",191
"Três dias após massacre em escola, Trump pede que cidadãos se armem para combater o 'mal' em discurso de convenção pró-armas no Texas",191
Biden viaja a cidade do Texas após massacre mais letal em escolas em uma década,191
Joe Biden lamenta tiroteio com 16 mortos em escola no Texas,191
Biden visita escola palco de massacre nos EUA,191
Senado aprova medida provisória com salário mínimo de R$ 1.212,190
Senado aprova medida provisória que fixou salário mínimo em R$ 1.212 neste ano,190
Senado aprova MP que estabelece salário mínimo de R$ 1.212,190
"Câmara aprova MP que fixou, em janeiro, salário mínimo em R$ 1.212",190
Câmara aprova MP que define salário mínimo em R$ 1.212,190
Câmara aprova MP que fixa salário mínimo em R$ 1.212,190
Massacre no Texas: o que se sabe sobre as vítimas,189
"'Foi uma decisão errada', diz polícia sobre atraso em confrontar atirador no Texas",189
Imprensa divulga nome de policial criticado por decisões em massacre no Texas,189
Massacre no Texas: como trauma de ataques em escolas afeta gerações de estudantes nos EUA,189
Polícia do Texas admite erro no massacre em escola que terminou com 21 mortos,189
"É aterrorizante levar minha filha à escola, diz sobrevivente de Columbine após massacre no Texas",189
Marido de professora assassinada em massacre no Texas morre de infarto,189
Avó de menina assassinada no Texas pede que governo 'faça algo' para evitar outra tragédia,189
"'Vocês todos vão morrer', disse o autor do ataque em escola no Texas antes de abrir fogo",189
